department,focus_group,expectations,processed_text,source,sentiment,title,Category,Category_Method,Category_Confidence
BAA,BAA Operations,Improve add tab,Improve add tab,worksheet,positive,Improve add tab,User Experience & Performance,keyword_semantic_agree,3.16495144367218
BAA,BAA Operations,Filter open to show all cases with fines,Filter open to show all cases with fines,worksheet,negative,Filter open to show all cases with fines,Case Management,keyword_semantic_agree,4.252451658248901
BAA,BAA Operations,When clicking BAA ticketing from pending to approve either combine both or just one action,When clicking BAA ticketing from pending to approve either combine both or just one action,worksheet,negative,When clicking BAA ticketing from pending to approve either combine both or just one action,Workflow & Business Processes,keyword_semantic_agree,6.250169664621353
BAA,BAA Operations,BAA case notes with action like first round ticket button,BAA case notes with action like first round ticket button,worksheet,negative,BAA case notes with action like first round ticket button,Case Management,title_keyword,5.0
BAA,BAA Operations,Select all fees at once when applying,Select all fees at once when applying,worksheet,positive,Select all fees at once when applying,Workflow & Business Processes,keyword_semantic_agree,3.1443511843681335
BAA,BAA Operations,More filter options for addresses with multiple cases,More filter options for addresses with multiple cases,worksheet,negative,More filter options for addresses with multiple cases,Case Management,title_keyword,4.0
BAA,BAA Operations,Less action button when going to add notes,Less action button when going to add notes,worksheet,negative,Less action button when going to add notes,User Experience & Performance,title_keyword,4.0
BAA,BAA Operations,Clear out some of the ones that aren't used,Clear out some of the ones that aren't used,worksheet,positive,Clear out some of the ones that aren't used,Scheduling & Resource Management,semantic_fallback,0.19481278955936432
BAA,BAA Operations,“RMI letter receival”,“RMI letter receival”,worksheet,negative,“RMI letter receival”,Records & Document Management,keyword_semantic_agree,3.2802827656269073
BAA,BAA Operations,Add RMI letter mailed,Add RMI letter mailed,worksheet,negative,Add RMI letter mailed,Records & Document Management,keyword_semantic_agree,3.2296593338251114
BAA,BAA Operations,Just want it cleaned up and organized more,Just want it cleaned up and organized more,worksheet,positive,Just want it cleaned up and organized more,User Experience & Performance,keyword_low,3.0
BAA,BAA Supervisors,Automate tickets,Automate tickets,worksheet,positive,Automate tickets,Workflow & Business Processes,title_keyword,4.0
BAA,BAA Supervisors,Link all tickets/complaints for a property of house owner,Link all tickets/complaints for a property of house owner,worksheet,positive,Link all tickets/complaints for a property of house owner,Case Management,title_keyword,7.0
BAA,BAA Supervisors,Limit to the ones used,Limit to the ones used,worksheet,negative,Limit to the ones used,Reporting & Decision Support,semantic_fallback,0.1154455691576004
BAA,BAA Supervisors,Linked cases is biggest,Linked cases is biggest,worksheet,positive,Linked cases is biggest,Case Management,keyword_semantic_agree,4.2800211906433105
BAA,BAA Supervisors,Case note button on top with actions and inspections so wouldn't have to scroll,Case note button on top with actions and inspections so wouldn't have to scroll,worksheet,negative,Case note button on top with actions and inspections so wouldn't have to scroll,Case Management,title_keyword,8.0
BAA,BAA Supervisors,BAA inspections different color from codes,BAA inspections different color from codes,worksheet,negative,BAA inspections different color from codes,Case Management,title_keyword,7.0
BAA,BAA Supervisors,revamp actions,revamp actions,worksheet,positive,revamp actions,Workflow & Business Processes,keyword_semantic_agree,2.2212394922971725
BAA,BAA Supervisors,Putting notes in uniform manner,Putting notes in uniform manner,worksheet,positive,Putting notes in uniform manner,Records & Document Management,keyword_low,3.0
CPC,CPC,BAA update timely,BAA update timely,worksheet,positive,BAA update timely,Scheduling & Resource Management,semantic_fallback,0.28596457839012146
CPC,CPC,User updates,User updates,worksheet,positive,User updates,User Experience & Performance,semantic_fallback,0.22998486459255219
CPC,CPC,"At a glance status of properties – RR renewal date, same for CofU, CofC, VPR.","At a glance status of properties – RR renewal date, same for CofU, CofC, VPR.",worksheet,negative,"At a glance status of properties – RR renewal date, same for CofU, CofC, VPR.",Case Management,keyword_low,2.0
CPC,CPC,Maybe a tab just for BAA violation ticket and not mixed in with the warning and everything else,Maybe a tab just for BAA violation ticket and not mixed in with the warning and everything else,worksheet,negative,Maybe a tab just for BAA violation ticket and not mixed in with the warning and everything else,Case Management,title_keyword,6.0
CPC,CPC,The information IPS has is good but just a tab for violation ticket separate for all the warning and image would make things easier,The information IPS has is good but just a tab for violation ticket separate for all the warning and image would make things easier,worksheet,negative,The information IPS has is good but just a tab for violation ticket separate for all the warning and image would make things easier,Case Management,title_keyword,6.0
CPC,CPC,Can the IPS software automatically add the late fees to all existing code violations to avoid incorrect information being recorded or provided to the customer.,Can the IPS software automatically add the late fees to all existing code violations to avoid incorrect information being recorded or provided to the customer.,worksheet,negative,Can the IPS software automatically add the late fees to all existing code violations to avoid incorrect information being recorded or provided to the customer.,Case Management,title_keyword,6.0
CPC,CPC,Can the violation and BAA ticket be different and not so identical for easy processing purpose and not to confuse everyone involved.,Can the violation and BAA ticket be different and not so identical for easy processing purpose and not to confuse everyone involved.,worksheet,negative,Can the violation and BAA ticket be different and not so identical for easy processing purpose and not to confuse everyone involved.,Case Management,title_keyword,6.0
CPC,CPC,I could help update when I see some that could be closed,I could help update when I see some that could be closed,worksheet,negative,I could help update when I see some that could be closed,Scheduling & Resource Management,semantic_fallback,0.21175898611545563
CPC,CPC,Maybe its my computer,Maybe its my computer,worksheet,negative,Maybe its my computer,User Experience & Performance,semantic_fallback,0.22621338069438934
CPC,CPC,Add one more search function,Add one more search function,worksheet,negative,Add one more search function,Records & Document Management,keyword_semantic_agree,4.186802625656128
CPC,CPC,"After searching by owner name or address, if the list of violations could show the amount owed. It would save more time opening each violations.","After searching by owner name or address, if the list of violations could show the amount owed. It would save more time opening each violations.",worksheet,negative,"After searching by owner name or address, if the list of violations could show the amount owed. It would save more time opening each violations.",Case Management,title_keyword,7.0
CPC,CPC,Businesses on system should also list owner's / responsible party name,Businesses on system should also list owner's / responsible party name,worksheet,positive,Businesses on system should also list owner's / responsible party name,Records & Document Management,semantic_fallback,0.31803038716316223
CPC,CPC,System could automatically duplicate email address + phone for every account on system once completed for one account manually,System could automatically duplicate email address + phone for every account on system once completed for one account manually,worksheet,negative,System could automatically duplicate email address + phone for every account on system once completed for one account manually,Communication & Collaboration,title_keyword,7.0
CPC,CPC,Recode items which have current money owed to a “Red dot“ instead of purple or green so it stands out and would eliminate need to double click each entry.,Recode items which have current money owed to a “Red dot“ instead of purple or green so it stands out and would eliminate need to double click each entry.,worksheet,positive,Recode items which have current money owed to a “Red dot“ instead of purple or green so it stands out and would eliminate need to double click each entry.,User Experience & Performance,keyword_low,2.0
CPC,CPC,AS400 – water,AS400 – water,worksheet,negative,AS400 – water,System Integration,title_keyword,4.0
CPC,CPC,Need to duplicate password entry,Need to duplicate password entry,worksheet,negative,Need to duplicate password entry,Workflow & Business Processes,semantic_fallback,0.1343061923980713
CPO,Permits,One database that stores and allows /facilitates application progress,One database that stores and allows /facilitates application progress,worksheet,positive,One database that stores and allows /facilitates application progress,Reporting & Decision Support,semantic,0.33965277671813965
CPO,Permits,Improve documentation capabilities,Improve documentation capabilities,worksheet,positive,Improve documentation capabilities,Training & Documentation,keyword_semantic_agree,5.5284594893455505
CPO,Permits,Ideally it would be aide to someone integrate with camino.,Ideally it would be aide to someone integrate with camino.,worksheet,positive,Ideally it would be aide to someone integrate with camino.,System Integration,keyword_semantic_agree,9.394192665815353
CPO,Permits,I think from codes perspective the information is scattered,I think from codes perspective the information is scattered,worksheet,negative,I think from codes perspective the information is scattered,Data Management & Visibility,keyword_semantic_agree,7.374733746051788
CPO,Permits,"Eg. Ideally, If IPS could integrate with Camino if a violation were in the system it could trigger an alert in camino on app>","Eg. Ideally, If IPS could integrate with Camino if a violation were in the system it could trigger an alert in camino on app>",worksheet,negative,"Eg. Ideally, If IPS could integrate with Camino if a violation were in the system it could trigger an alert in camino on app>",System Integration,keyword_semantic_agree,9.412489414215088
DOCE,Admin Aide,autofill from linked outlook and IPS modules,autofill from linked outlook and IPS modules,worksheet,negative,autofill from linked outlook and IPS modules,Data Management & Visibility,title_keyword,4.0
DOCE,Admin Aide,Same format throughout,Same format throughout,worksheet,negative,Same format throughout,Data Management & Visibility,semantic_fallback,0.18383535742759705
DOCE,Admin Aide,"Search in address book would populate all associated properties complaints, violations","Search in address book would populate all associated properties complaints, violations",worksheet,negative,"Search in address book would populate all associated properties complaints, violations",Case Management,title_keyword,9.0
DOCE,Admin Aide,More detailed preview,More detailed preview,worksheet,positive,More detailed preview,Data Management & Visibility,semantic_fallback,0.19950847327709198
DOCE,Admin Aide,Faster processing speed or more data for the software to run smoothly so it doesn't crash often,Faster processing speed or more data for the software to run smoothly so it doesn't crash often,worksheet,negative,Faster processing speed or more data for the software to run smoothly so it doesn't crash often,User Experience & Performance,keyword_semantic_agree,8.479814112186432
DOCE,Admin Aide,Making it so we can seek the names alphabetically or programming it to do so,Making it so we can seek the names alphabetically or programming it to do so,worksheet,negative,Making it so we can seek the names alphabetically or programming it to do so,Records & Document Management,semantic,0.404977023601532
DOCE,Admin Aide,Adding Rent Hold / Rent Release as option for all cases since some case types doesn't list them,Adding Rent Hold / Rent Release as option for all cases since some case types doesn't list them,worksheet,negative,Adding Rent Hold / Rent Release as option for all cases since some case types doesn't list them,Case Management,title_keyword,4.0
DOCE,Admin Aide,"If there was more organization in the periodic inspection table, there are too many unused options and the list is random","If there was more organization in the periodic inspection table, there are too many unused options and the list is random",worksheet,negative,"If there was more organization in the periodic inspection table, there are too many unused options and the list is random",Case Management,keyword_low,3.0
DOCE,Building Inspectors,Make sure we have the most current information,Make sure we have the most current information,worksheet,positive,Make sure we have the most current information,Data Management & Visibility,keyword_low,2.0
DOCE,Building Inspectors,Make sure we have the most current address,Make sure we have the most current address,worksheet,positive,Make sure we have the most current address,Records & Document Management,keyword_semantic_agree,2.230492666363716
DOCE,Building Inspectors,Better communication,Better communication,worksheet,positive,Better communication,Communication & Collaboration,keyword_semantic_agree,4.511046767234802
DOCE,Building Inspectors,Sprinkler system reports & elevator reports – access to them at least,Sprinkler system reports & elevator reports – access to them at least,worksheet,positive,Sprinkler system reports & elevator reports – access to them at least,Reporting & Decision Support,title_keyword,4.0
DOCE,Building Inspectors,Tablets that are faster,Tablets that are faster,worksheet,positive,Tablets that are faster,User Experience & Performance,keyword_semantic_agree,4.36403352022171
DOCE,Building Inspectors,Communication within departments,Communication within departments,worksheet,positive,Communication within departments,Communication & Collaboration,keyword_semantic_agree,7.683718264102936
DOCE,Building Inspectors,Apps on iPhone,Apps on iPhone,worksheet,positive,Apps on iPhone,User Experience & Performance,semantic_fallback,0.20554272830486298
DOCE,Building Inspectors,Single system,Single system,worksheet,positive,Single system,System Integration,semantic,0.3504088819026947
DOCE,Building Inspectors,Single system,Single system,worksheet,positive,Single system,System Integration,semantic,0.3504088819026947
DOCE,Building Inspectors,The same as AS400.,The same as AS400.,worksheet,negative,The same as AS400.,System Integration,title_keyword,4.0
DOCE,Building Inspectors,If it could hold everything I need.,If it could hold everything I need.,worksheet,positive,If it could hold everything I need.,Records & Document Management,semantic_fallback,0.08470690995454788
DOCE,Building Inspectors,Have a note that says pass instead calling permits,Have a note that says pass instead calling permits,worksheet,negative,Have a note that says pass instead calling permits,Communication & Collaboration,keyword_semantic_agree,4.202893033623695
DOCE,Building Inspectors,Have that in IPS,Have that in IPS,worksheet,negative,Have that in IPS,System Integration,semantic_fallback,0.24238936603069305
DOCE,Building Inspectors,Just elevator certificate,Just elevator certificate,worksheet,positive,Just elevator certificate,Training & Documentation,semantic_fallback,0.18812382221221924
DOCE,CPO-Coordinators,One system for everything,One system for everything,worksheet,positive,One system for everything,System Integration,semantic,0.37760111689567566
DOCE,CPO-Coordinators,Get rid of Camino!,Get rid of Camino!,worksheet,positive,Get rid of Camino!,System Integration,keyword_semantic_agree,4.0607834458351135
DOCE,CPO-Coordinators,"Customized certificates, simpler case management, more efficient expiration/renewal notification so report isn't needed, automatic renewal letters sent to a queue?","Customized certificates, simpler case management, more efficient expiration/renewal notification so report isn't needed, automatic renewal letters sent to a queue?",worksheet,negative,"Customized certificates, simpler case management, more efficient expiration/renewal notification so report isn't needed, automatic renewal letters sent to a queue?",Case Management,title_keyword,7.0
DOCE,CPO-Coordinators,Migrate list (tracking) out of IPS (this can be an excel file),Migrate list (tracking) out of IPS (this can be an excel file),worksheet,negative,Migrate list (tracking) out of IPS (this can be an excel file),Reporting & Decision Support,keyword_low,2.0
DOCE,CPO-Coordinators,Online system to schedule inspections (already used elsewhere),Online system to schedule inspections (already used elsewhere),worksheet,negative,Online system to schedule inspections (already used elsewhere),Case Management,title_keyword,6.0
DOCE,CPO-Coordinators,Some owners have numerous accounts in IPS,Some owners have numerous accounts in IPS,worksheet,negative,Some owners have numerous accounts in IPS,Records & Document Management,semantic_fallback,0.22158609330654144
DOCE,Housing Inspectors,I have no idea; I am not sure why IPS has lapses so I am not sure how to improve/fix,I have no idea; I am not sure why IPS has lapses so I am not sure how to improve/fix,worksheet,positive,I have no idea; I am not sure why IPS has lapses so I am not sure how to improve/fix,System Integration,semantic_fallback,0.25779083371162415
DOCE,Housing Inspectors,Make it so it's to a scroll to choose and action,Make it so it's to a scroll to choose and action,worksheet,positive,Make it so it's to a scroll to choose and action,Workflow & Business Processes,keyword_low,2.0
DOCE,Housing Inspectors,Make an action that saves clicks,Make an action that saves clicks,worksheet,positive,Make an action that saves clicks,Workflow & Business Processes,keyword_low,2.0
DOCE,Housing Inspectors,Make a case label for drive by/calls/waiting for owner,Make a case label for drive by/calls/waiting for owner,worksheet,negative,Make a case label for drive by/calls/waiting for owner,Communication & Collaboration,title_keyword,4.0
DOCE,Housing Inspectors,Case could tell you when you open it if it is in high risk area,Case could tell you when you open it if it is in high risk area,worksheet,positive,Case could tell you when you open it if it is in high risk area,Case Management,keyword_semantic_agree,2.2845991253852844
DOCE,Housing Inspectors,"If it could get water /lead information, it would save a lot of time. Only a couple of people have access to AS400, so it is annoying","If it could get water /lead information, it would save a lot of time. Only a couple of people have access to AS400, so it is annoying",worksheet,negative,"If it could get water /lead information, it would save a lot of time. Only a couple of people have access to AS400, so it is annoying",System Integration,title_keyword,4.0
DOCE,Housing Inspectors,Batch violation numbers when saved,Batch violation numbers when saved,worksheet,negative,Batch violation numbers when saved,Case Management,keyword_low,3.0
DOCE,Housing Inspectors,Ability to add custom shortcuts,Ability to add custom shortcuts,worksheet,positive,Ability to add custom shortcuts,User Experience & Performance,semantic_fallback,0.20694522559642792
DOCE,Housing Inspectors,Create a global address book,Create a global address book,worksheet,positive,Create a global address book,Records & Document Management,keyword_low,2.0
DOCE,Housing Inspectors,Eliminate unneeded actions i.e. (BAA Ticket Rounds),Eliminate unneeded actions i.e. (BAA Ticket Rounds),worksheet,positive,Eliminate unneeded actions i.e. (BAA Ticket Rounds),Workflow & Business Processes,semantic,0.3968229293823242
DOCE,Housing Inspectors,Stats,Stats,worksheet,positive,Stats,Reporting & Decision Support,keyword_semantic_agree,4.327251881361008
DOCE,Housing Inspectors,Cases without inspection date,Cases without inspection date,worksheet,positive,Cases without inspection date,Case Management,keyword_semantic_agree,7.318076908588409
DOCE,Housing Inspectors,Cases set to “needs review”,Cases set to “needs review”,worksheet,negative,Cases set to “needs review”,Case Management,keyword_semantic_agree,4.376835852861404
DOCE,Housing Inspectors,(IT or IPS focus),(IT or IPS focus),worksheet,positive,(IT or IPS focus),System Integration,semantic_fallback,0.31551989912986755
DOCE,Housing Inspectors,Bring back laptops so we can update cases in field,Bring back laptops so we can update cases in field,worksheet,negative,Bring back laptops so we can update cases in field,Case Management,keyword_semantic_agree,4.240623116493225
DOCE,Housing Inspectors,Issues connecting to IPS remotely,Issues connecting to IPS remotely,worksheet,negative,Issues connecting to IPS remotely,System Integration,semantic_fallback,0.20105279982089996
DOCE,Office Managers,"I can complete my function by only opening one case at a time, but it slows me down","I can complete my function by only opening one case at a time, but it slows me down",worksheet,negative,"I can complete my function by only opening one case at a time, but it slows me down",User Experience & Performance,title_keyword,7.0
DOCE,Office Managers,"The way ownership and previous ownership in relation in relation to “agents” “business contact”, etc. With a case (not parcel) is often messed up:","The way ownership and previous ownership in relation in relation to “agents” “business contact”, etc. With a case (not parcel) is often messed up:",worksheet,negative,"The way ownership and previous ownership in relation in relation to “agents” “business contact”, etc. With a case (not parcel) is often messed up",Records & Document Management,keyword_semantic_agree,3.359758347272873
DOCE,Office Managers,"Because if sometimes doesn't take an update,","Because if sometimes doesn't take an update,",worksheet,negative,"Because if sometimes doesn't take an update,",User Experience & Performance,semantic_fallback,0.2438611537218094
DOCE,Office Managers,Can't tell who is connected to who,Can't tell who is connected to who,worksheet,negative,Can't tell who is connected to who,Communication & Collaboration,semantic_fallback,0.22920382022857666
DOCE,Office Managers,Remove tab because it has nothing to do with us,Remove tab because it has nothing to do with us,worksheet,negative,Remove tab because it has nothing to do with us,User Experience & Performance,keyword_semantic_agree,3.0787458941340446
DOCE,Office Managers,Make it still “checkable” but have address remain updated,Make it still “checkable” but have address remain updated,worksheet,negative,Make it still “checkable” but have address remain updated,Records & Document Management,keyword_low,2.0
DOCE,Office Managers,Ensure this information can be automatically put into new cases so it is not forgotten,Ensure this information can be automatically put into new cases so it is not forgotten,worksheet,positive,Ensure this information can be automatically put into new cases so it is not forgotten,Case Management,keyword_semantic_agree,4.319921433925629
DOCE,Office Managers,"Making sure “department”, “status” or either status in IPS are not holding up BAA referrals.","Making sure “department”, “status” or either status in IPS are not holding up BAA referrals.",worksheet,negative,"Making sure “department”, “status” or either status in IPS are not holding up BAA referrals.",Case Management,title_keyword,7.0
DOCE,Office Managers,Water & Tax records for periodic inspections,Water & Tax records for periodic inspections,worksheet,negative,Water & Tax records for periodic inspections,Case Management,title_keyword,6.0
DOCE,Permit/Commercial/Electrical Inspectors,Consolidate to functioning system,Consolidate to functioning system,worksheet,positive,Consolidate to functioning system,System Integration,semantic,0.3474675416946411
DOCE,Permit/Commercial/Electrical Inspectors,In field timely acces: to information and modification of cases,In field timely acces: to information and modification of cases,worksheet,positive,In field timely acces,Case Management,keyword_semantic_agree,4.432299017906189
DOCE,Permit/Commercial/Electrical Inspectors,Have camino and outlook talk to each other,Have camino and outlook talk to each other,worksheet,positive,Have camino and outlook talk to each other,System Integration,title_keyword,7.0
DOCE,Permit/Commercial/Electrical Inspectors,Use IPS when permit is pulled,Use IPS when permit is pulled,worksheet,negative,Use IPS when permit is pulled,System Integration,semantic_fallback,0.14085479080677032
DOCE,Permit/Commercial/Electrical Inspectors,Get rid of it,Get rid of it,worksheet,negative,Get rid of it,User Experience & Performance,semantic_fallback,0.05187983065843582
DOCE,Permit/Commercial/Electrical Inspectors,Get rid of it,Get rid of it,worksheet,negative,Get rid of it,User Experience & Performance,semantic_fallback,0.05187983065843582
DOCE,Permit/Commercial/Electrical Inspectors,Get rid of it,Get rid of it,worksheet,negative,Get rid of it,User Experience & Performance,semantic_fallback,0.05187983065843582
DOCE,Permit/Commercial/Electrical Inspectors,Add a tickle date option to the system,Add a tickle date option to the system,worksheet,positive,Add a tickle date option to the system,Scheduling & Resource Management,keyword_semantic_agree,5.343026161193848
DOCE,Permit/Commercial/Electrical Inspectors,IPS works better than Camino,IPS works better than Camino,worksheet,positive,IPS works better than Camino,System Integration,keyword_semantic_agree,4.290084809064865
DOCE,Permit/Commercial/Electrical Inspectors,Hiring qualified people and train them,Hiring qualified people and train them,worksheet,positive,Hiring qualified people and train them,Training & Documentation,keyword_semantic_agree,5.400713503360748
DOCE,Supervisors,Consolidate /merge data and information,Consolidate /merge data and information,worksheet,positive,Consolidate /merge data and information,Data Management & Visibility,keyword_semantic_agree,4.452176213264465
DOCE,Supervisors,?,?,worksheet,negative,?,User Experience & Performance,semantic_fallback,0.11119335144758224
DOCE,Supervisors,"Migration to one place (microfrch, scans, shared drives, etc.)","Migration to one place (microfrch, scans, shared drives, etc.)",worksheet,negative,"Migration to one place (microfrch, scans, shared drives, etc.)",Data Management & Visibility,title_keyword,4.0
DOCE,Supervisors,Artificial Intelligence,Artificial Intelligence,worksheet,negative,Artificial Intelligence,Workflow & Business Processes,semantic_fallback,0.20285312831401825
DOCE,Supervisors,"Connection to enterprise-wide GIS at the county level, since we are parcel based (legal basis for Code Enforcement Activity)","Connection to enterprise-wide GIS at the county level, since we are parcel based (legal basis for Code Enforcement Activity)",worksheet,negative,"Connection to enterprise-wide GIS at the county level, since we are parcel based (legal basis for Code Enforcement Activity)",System Integration,keyword_semantic_agree,4.418339639902115
DOCE,Supervisors,Better reporting,Better reporting,worksheet,positive,Better reporting,Reporting & Decision Support,keyword_semantic_agree,8.439510613679886
DOCE,Supervisors,?,?,worksheet,negative,?,User Experience & Performance,semantic_fallback,0.11119335144758224
DOCE,Supervisors,Not sure.,Not sure.,worksheet,negative,Not sure.,Communication & Collaboration,semantic_fallback,0.05676107108592987
DOCE,Supervisors,?,?,worksheet,negative,?,User Experience & Performance,semantic_fallback,0.11119335144758224
DOCE,Supervisors,"Improve UI for parcel history, have data from Camino (permits) and other databases inputted into central database.","Improve UI for parcel history, have data from Camino (permits) and other databases inputted into central database.",worksheet,positive,"Improve UI for parcel history, have data from Camino (permits) and other databases inputted into central database.",Data Management & Visibility,title_keyword,4.0
DOCE,Supervisors,"Some addresses on the property are not the same in assessment records, so contractors get frsutrated","Some addresses on the property are not the same in assessment records, so contractors get frsutrated",worksheet,negative,"Some addresses on the property are not the same in assessment records, so contractors get frsutrated",Records & Document Management,keyword_semantic_agree,6.312526881694794
DOCE,Supervisors,Central software for all Code,Central software for all Code,worksheet,positive,Central software for all Code,System Integration,semantic,0.3201782703399658
DOCE,Zoning,Data migration to one system for historical records.,Data migration to one system for historical records.,worksheet,negative,Data migration to one system for historical records.,Data Management & Visibility,keyword_semantic_agree,9.42108678817749
DOCE,Zoning,Digitization of all records timely,Digitization of all records timely,worksheet,positive,Digitization of all records timely,Records & Document Management,keyword_semantic_agree,4.402548223733902
DOCE,Zoning,Enterprise wide GIS system,Enterprise wide GIS system,worksheet,negative,Enterprise wide GIS system,System Integration,keyword_semantic_agree,4.484640210866928
DOCE,Zoning,See notes from my code enforcement worksheet - [PERSON],See notes from my code enforcement worksheet - [PERSON],worksheet,negative,See notes from my code enforcement worksheet - [PERSON],Communication & Collaboration,semantic,0.36895349621772766
DOCE,Zoning,More regular updates to speadsheet,More regular updates to speadsheet,worksheet,positive,More regular updates to speadsheet,Scheduling & Resource Management,semantic_fallback,0.2652415335178375
DOCE,Zoning,"The items not on IPS or OnBase, if not in basement file, can't be found","The items not on IPS or OnBase, if not in basement file, can't be found",worksheet,negative,"The items not on IPS or OnBase, if not in basement file, can't be found",System Integration,title_keyword,4.0
DOCE,Zoning,More files uploaded / transferred to IPS,More files uploaded / transferred to IPS,worksheet,negative,More files uploaded / transferred to IPS,Records & Document Management,keyword_low,3.0
DOCE,Zoning,Change workflow,Change workflow,worksheet,positive,Change workflow,Workflow & Business Processes,keyword_semantic_agree,3.4326282739639282
DOCE,Zoning,Dedicated person,Dedicated person,worksheet,positive,Dedicated person,Scheduling & Resource Management,semantic_fallback,0.1350487470626831
DOCE,Zoning,Onboarding training (competative),Onboarding training (competative),worksheet,positive,Onboarding training (competative),Training & Documentation,keyword_semantic_agree,14.505490064620972
